data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7409167,152,CHI6495,6495,"11 December 2020",2020,1,Riots,"Violent demonstration","Rioters (Chile)",,5,,,0,50,"South America",Chile,Biobio,Arauco,Arauco,"Mocha Island",-38.3807,-73.9112,1,"El Sur; Biobio Chile",Subnational,"On 11 December 2020, in Mocha Island, Biobio region, nearly 15 residents demonstrated against the arrival of tourists to the island. The group burned wood on the airstrip and demanded restricted access for non-residents, alluding to measures to prevent the spread of coronavirus in the area. Additionally, the group claimed the island lacks the infrastructure to receive tourists. [size=nearly 15]",0,1607982441,CHL
7409168,152,CHI6496,6496,"11 December 2020",2020,1,Riots,"Violent demonstration","Rioters (Chile)",,5,"Police Forces of Chile (2018-)","Civilians (Chile); Labour Group (Chile)",1,15,"South America",Chile,Metropolitana,Santiago,"Santiago Centro",Santiago,-33.4569,-70.6483,1,"Biobio Chile; 24 Horas (Chile)",National,"On 11 December 2020, in Santiago, Metropolitana region, a little more than 100 citizens staged an anti-government demonstration. The group demanded the release of citizens arrested during the political unrest of October 2019. Police forces used tear gas and water cannons to disperse the group, while demonstrators threw rocks and other objects against officers, and built barricades across the streets. A bank and a local store were looted by a group of rioters. Police arrested 18 people. One demonstrator lost eyesight after a pellet impacted his head. [size=a little more than 100]",0,1607982441,CHL
7409513,152,CHI6493,6493,"11 December 2020",2020,2,Protests,"Peaceful protest","Protesters (Chile)","Afro-Chilean Ethnic Group (Chile)",6,,,0,60,"South America",Chile,"Arica y Parinacota",Arica,Arica,Arica,-18.4746,-70.2979,1,"La Estrella Arica",Subnational,"Around 11 December 2020, in Arica, Arica y Parinacota region, Afro-Chilean people protested over the designation of seats for this community to draft the new constitution. The group protested near the city hall to demand the assignation of seats for members of this community. [size=no report]",0,1607982444,CHL
7409341,152,CHI6494,6494,"11 December 2020",2020,1,Protests,"Peaceful protest","Protesters (Chile)",,6,,,0,60,"South America",Chile,Coquimbo,Elqui,"La Serena","La Serena",-29.9045,-71.2489,1,"El Dia (Chile)",National,"On 11 December 2020, in La Serena, Coquimbo region, hundreds of families protested over a housing crisis in the commune. The group marched through the city to demand their right to access decent housing and criticized excessive delays in the construction of new social housing projects. [size=hundreds of families]",0,1607982442,CHL
7409164,152,CHI6488,6488,"10 December 2020",2020,1,"Strategic developments","Looting/property destruction","Indigenous Militia (Chile)",,4,"Civilians (Chile)","Labour Group (Chile)",7,47,"South America",Chile,Biobio,Arauco,Canete,Canete,-37.8,-73.3833,2,"El Sur; La Estrella Concepcion; El Mercurio (Chile)",Subnational-National,"On 10 December 2020, in the rural area of Canete, Biobio region, suspected indigenous militiamen set on fire a hotel, a private house, one warehouse, and several vehicles near the Lanalhue Lake. Perpetrators threatened people that were in the area at the moment of the attack. There have been several attacks in the Biobio region perpetrated by indigenous groups who demand land rights. No injuries were reported",0,1607982441,CHL
7409165,152,CHI6490,6490,"10 December 2020",2020,1,Riots,"Violent demonstration","Rioters (Chile)",,5,"Police Forces of Chile (2018-)","Civilians (Chile); Labour Group (Chile)",1,15,"South America",Chile,Metropolitana,Santiago,"Estacion Central","Estacion Central",-33.4546,-70.6823,1,"24 Horas (Chile); La Estrella Del Loa; La Nacion (Chile)",National,"On 10 December 2020, in Estacion Central, Metropolitana region, citizens staged a demonstration and blocked the traffic in Alameda avenue. Police forces used tear gas and water cannons to disperse the group. A group of between 20 to 30 demonstrators set fire to four busses of public service. Demonstrators demanded the release of citizens arrested during the political unrest of October 2019. Police arrested 9 people, while a second source claimed in total 17 people were arrested. [size=between 20 to 30]",0,1607982441,CHL
7409166,152,CHI6491,6491,"10 December 2020",2020,1,"Violence against civilians",Attack,"Mapuche Indigenous Militia (Chile)",,4,"Civilians (Chile)","Labour Group (Chile)",7,47,"South America",Chile,Araucania,Cautin,Tolten,"Nueva Tolten",-39.1775,-73.1638,2,"Biobio Chile; El Austral Temuco",Subnational-National,"On 10 December 2020, in the rural area of Nueva Tolten, Araucania region, a group of suspected indigenous militiamen set fire to several pieces of machinery that belong to a logging company in the area San Jorge Los Boldos. Perpetrators raided the area and shot at workers and subsequently burned the machines. Pamphlets connecting the attack to Mapuche indigenous people were found in the area. One worker was reported injured.",0,1607982441,CHL
7409243,152,CHI6492,6492,"10 December 2020",2020,1,Riots,"Violent demonstration","Rioters (Chile)",,5,"Police Forces of Chile (2018-)",,1,15,"South America",Chile,Metropolitana,Santiago,"Santiago Centro",Santiago,-33.4569,-70.6483,1,"Biobio Chile",National,"On 10 December 2020, in Santiago, Metropolitana region, citizens staged a demonstration near the Ministry of Education. Police forces used tear gas and water cannons to disperse the group, while demonstrators used rocks and other objects against officers. A bus stop was set on fire by demonstrators. The group demanded the release of citizens arrested during the political unrest of October 2019. [size=no report]",0,1607982441,CHL
7409340,152,CHI6489,6489,"10 December 2020",2020,1,Protests,"Peaceful protest","Protesters (Chile)","Women (Chile)",6,,,0,60,"South America",Chile,Coquimbo,Elqui,Coquimbo,Coquimbo,-29.9533,-71.3395,1,"El Dia (Chile)",National,"On 10 December 2020, in Coquimbo, Coquimbo region, women and feminist organizations protested against gender-based violence. The group marched through the streets to demand justice for the victims in a femicide case. [size=no report]",0,1607982442,CHL
7409162,152,CHI6484,6484,"09 December 2020",2020,1,"Strategic developments","Looting/property destruction","Mapuche Indigenous Militia (Chile)",,4,"Civilians (Chile)","Labour Group (Chile)",7,47,"South America",Chile,Biobio,Arauco,Canete,Antiquina,-38.0709,-73.3939,1,"La Estrella Concepcion; El Sur; El Mercurio (Chile)",Subnational-National,"On 9 December 2020, in Antiquina, Biobio region, a group of 50 suspected indigenous militiamen set fire to a truck loaded with liquified gas. The armed men forced the driver out of the vehicle. Subsequently, they used the vehicle to block the road that connects Canete and Tirua. There have been several attacks in the Biobio region perpetrated by indigenous groups who demand land rights and the release of arrested Mapuche individuals. No injured were reported.",0,1607982441,CHL
